unique_id,ds,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_1,2015-07-19,0.0,18973.74187004359,16644.603803638605,12907.779077408275,8428.4440218241
store_1,2015-07-26,0.0,19977.367824242065,18997.603803638605,14125.46107882243,10020.537728954154
store_1,2015-08-02,0.0,19717.993778440537,18403.603803638605,13814.836218821747,9618.623720439384
store_1,2015-08-09,0.0,18857.905446924724,16407.937136971937,12777.310515901776,8268.309933134151
store_1,2015-08-16,0.0,19389.674258266055,17659.937136971937,13424.01665901334,9115.441816400973
store_1,2015-08-23,0.0,18651.7287838931,15949.270470305273,12534.291246389681,7957.965558433633
store_1,2015-08-30,0.0,19592.640452377287,18155.937136971937,13676.085145534737,9451.046779739903
store_1,2015-09-06,0.0,18649.980692290046,15967.603803638605,12538.642989057727,7970.3703117828545
store_10,2015-07-19,0.0,29544.62105340128,23153.270583466427,20343.275418385172,12052.993737413117
store_10,2015-07-26,0.0,31444.14995198361,27572.937250133094,22794.964305363334,15302.82500031956
store_10,2015-08-02,0.0,31610.678850565946,27948.937250133094,23006.297362889953,15579.302084908026
store_10,2015-08-09,0.0,29887.922034862564,23916.60391679976,20775.234423013502,12614.281435735445
store_10,2015-08-16,0.0,31835.165219159186,28447.60391679976,23288.606505691674,15945.977367305495
store_10,2015-08-23,0.0,30772.122689170086,25954.60391679976,21910.396852469847,14112.846059116544
store_10,2015-08-30,0.0,31486.65158775242,27609.270583466427,22830.16325941334,15329.54131434451
store_10,2015-09-06,0.0,29617.323343477612,23234.937250133094,20409.618406997342,12113.044168019653
store_11,2015-07-19,0.0,34700.73614518088,29586.833333333332,26341.248564732807,16676.752844747454
store_11,2015-07-26,0.0,37029.90450633001,34982.83333333333,29067.325845165695,20446.88135950431
store_11,2015-08-02,0.0,35705.64429605056,31854.166666666664,27504.290806862125,18260.914826300217
store_11,2015-08-09,0.0,34201.526942913966,28305.833333333332,25730.104114171714,15781.73160171492
store_11,2015-08-16,0.0,35211.55244692023,30623.833333333332,26907.512310722042,17401.293851011884
store_11,2015-08-23,0.0,33755.149379497925,27186.833333333332,25189.3420219754,14999.89805686449
store_11,2015-08-30,0.0,35301.60345493276,30756.5,26996.51547843249,17493.98665734208
store_11,2015-09-06,0.0,34217.48610179617,28188.166666666664,25715.407311474664,15699.519137808993
store_12,2015-07-19,0.0,28593.698999013774,23478.638888888887,18790.258762532176,11197.746975186517
store_12,2015-07-26,0.0,30691.255740977627,28343.305555555555,21213.966002472323,14367.94317740974
store_12,2015-08-02,0.0,30518.526768655764,27910.638888888887,21006.44654851481,14085.983833125396
store_12,2015-08-09,0.0,28974.7977963339,24278.97222222222,19209.958897896347,11719.306594313417
store_12,2015-08-16,0.0,30737.2116811549,28361.638888888887,21245.240651813092,14379.890607252299
store_12,2015-08-23,0.0,29729.76842311875,25981.305555555555,20070.30000653642,12828.67976169412
store_12,2015-08-30,0.0,30676.039450796885,28159.638888888887,21159.68457304835,14248.251652987034
store_12,2015-09-06,0.0,29139.45333561788,24544.638888888887,19371.475385473863,11892.435714031924
store_13,2015-07-19,0.0,24976.81465395749,19290.379654823628,19810.042517514754,13787.79337339161
store_13,2015-07-26,0.0,27701.585646323903,25644.379654823628,25397.468429892117,21143.98796163676
store_13,2015-08-02,0.0,26943.785210118887,23872.379654823628,23840.37007663748,19092.496490064463
store_13,2015-08-09,0.0,24727.841916771013,18698.046321490296,19291.879518144273,13102.033338594021
store_13,2015-08-16,0.0,26583.755766280283,23024.712988156964,23096.837771830444,18111.13027256853
