unique_id,ds,cutoff,y,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA
store_1,2015-02-02,2015-01-26,29690.0,30008.0,31189.583333333332,29980.48598130841,31384.246530609395,29168.291470960063,31555.0,
store_1,2015-02-09,2015-01-26,24477.0,30008.0,31189.583333333332,29952.971962616823,23810.633609343233,29168.291470960063,24257.0,
store_1,2015-02-16,2015-01-26,26902.0,30008.0,31189.583333333332,29925.457943925234,26477.63763317203,29168.291470960063,29040.0,
store_1,2015-02-23,2015-01-26,25566.0,30008.0,31189.583333333332,29897.943925233645,25328.448397256674,29168.291470960063,25597.0,
store_1,2015-03-02,2015-01-26,31369.0,30008.0,31189.583333333332,29870.429906542056,31456.522336824477,29168.291470960063,30836.0,
store_1,2015-03-09,2015-01-26,23767.0,30008.0,31189.583333333332,29842.915887850468,23290.985367040383,29168.291470960063,23115.0,
store_1,2015-03-16,2015-01-26,27073.0,30008.0,31189.583333333332,29815.40186915888,26926.38379092697,29168.291470960063,28573.0,
store_1,2015-03-23,2015-01-26,23788.0,30008.0,31189.583333333332,29787.88785046729,23950.890749082937,29168.291470960063,22628.0,
store_1,2015-03-02,2015-02-23,31369.0,25566.0,28962.833333333332,25499.45945945946,31439.54895947344,27527.188675207584,30836.0,
store_1,2015-03-09,2015-02-23,23767.0,25566.0,28962.833333333332,25432.91891891892,23276.620788900935,27527.188675207584,23115.0,
store_1,2015-03-16,2015-02-23,27073.0,25566.0,28962.833333333332,25366.37837837838,26922.715289552485,27527.188675207584,28573.0,
store_1,2015-03-23,2015-02-23,23788.0,25566.0,28962.833333333332,25299.837837837837,23929.795468978486,27527.188675207584,22628.0,
store_1,2015-03-30,2015-02-23,33019.0,25566.0,28962.833333333332,25233.297297297297,32424.700053024535,27527.188675207584,30142.0,
store_1,2015-04-06,2015-02-23,19546.0,25566.0,28962.833333333332,25166.756756756757,19293.16633927529,27527.188675207584,23776.0,
store_1,2015-04-13,2015-02-23,27563.0,25566.0,28962.833333333332,25100.216216216217,28894.71202985535,27527.188675207584,31411.0,
store_1,2015-04-20,2015-02-23,20670.0,25566.0,28962.833333333332,25033.675675675677,20393.739481105596,27527.188675207584,18690.0,
store_1,2015-03-30,2015-03-23,33019.0,23788.0,26808.5,23708.31304347826,32432.327130528894,26609.817923907,30142.0,
store_1,2015-04-06,2015-03-23,19546.0,23788.0,26808.5,23628.626086956523,19298.34230746205,26609.817923907,23776.0,
